Model,Medical_Term,Accuracy
Whisper-Large-v3,ultrasound,0.5714285714285714
Whisper-Large-v3,sonography,0.8571428571428571
Whisper-Large-v3,obstetric,0.7142857142857143
Whisper-Large-v3,obstetrics,0.5714285714285714
Whisper-Large-v3,graphy,1.0
Whisper-Large-v3,anechoic,1.0
Whisper-Large-v3,gestational,1.0
Whisper-Large-v3,sac,1.0
Whisper-Large-v3,fetal,0.75
Whisper-Large-v3,pole,0.8
Whisper-Large-v3,cardiac,1.0
Whisper-Large-v3,activity,1.0
Whisper-Large-v3,decidual,0.4
Whisper-Large-v3,reaction,1.0
Whisper-Large-v3,membrane,1.0
Whisper-Large-v3,separation,1.0
Whisper-Large-v3,crl,1.0
Whisper-Large-v3,cervix,0.14285714285714285
Whisper-Large-v3,adnexal,1.0
Whisper-Large-v3,pathology,0.8333333333333334
Whisper-Large-v3,pouch,0.8888888888888888
Whisper-Large-v3,douglas,0.8888888888888888
Whisper-Large-v3,conception,0.6666666666666666
Whisper-Large-v3,edd,0.8888888888888888
Whisper-Large-v3,gravid,0.25
Whisper-Large-v3,uterus,0.7272727272727273
Whisper-Large-v3,endometrial,1.0
Whisper-Large-v3,echo,1.0
Whisper-Large-v3,ovary,1.0
Whisper-Large-v3,ovaries,1.0
Whisper-Large-v3,fluid,0.8333333333333334
Whisper-Large-v3,adenomyotic,0.75
Whisper-Large-v3,adenomyosis,0.5
Whisper-Large-v3,bulky,1.0
Whisper-Large-v3,globular,1.0
Whisper-Large-v3,placenta,1.0
Whisper-Large-v3,vertex,1.0
Whisper-Large-v3,presentation,1.0
Whisper-Large-v3,fhr,1.0
Whisper-Large-v3,afi,0.5
Whisper-Large-v3,liquor,0.0
Whisper-Large-v3,vessel,1.0
Whisper-Large-v3,cord,0.5
Whisper-Large-v3,bpd,1.0
Whisper-Large-v3,hc,1.0
Whisper-Large-v3,ac,1.0
Whisper-Large-v3,fl,0.875
Whisper-Large-v3,hl,0.5
Whisper-Large-v3,age,1.0
Whisper-Large-v3,birth,1.0
Whisper-Large-v3,weight,1.0
Whisper-Large-v3,artery,1.0
Whisper-Large-v3,pressure,1.0
Whisper-Large-v3,intrauterine,1.0
Whisper-Large-v3,pregnancy,1.0
Whisper-Large-v3,follow,0.75
Whisper-Large-v3,up,0.8333333333333334
Whisper-Large-v3,lmp,1.0
Whisper-Large-v3,weeks,0.7777777777777778
Whisper-Large-v3,days,0.8333333333333334
Whisper-Large-v3,mm,0.6923076923076923
Whisper-Large-v3,cm,0.5
Whisper-Large-v3,scar,1.0
Whisper-Large-v3,thickness,1.0
Whisper-Large-v3,examination,0.7142857142857143
Whisper-Large-v3,normal,1.0
Whisper-Large-v3,cyst,0.4
Whisper-Large-v3,follicle,1.0
Whisper-Large-v3,posterior,0.5
Whisper-Large-v3,anterior,1.0
Whisper-Large-v3,transverse,0.0
Whisper-Large-v3,measures,1.0
Voxtral-Mini-3b,ultrasound,0.8571428571428571
Voxtral-Mini-3b,sonography,0.5714285714285714
Voxtral-Mini-3b,obstetric,0.7142857142857143
Voxtral-Mini-3b,obstetrics,0.0
Voxtral-Mini-3b,graphy,0.625
Voxtral-Mini-3b,anechoic,0.5
Voxtral-Mini-3b,gestational,0.8333333333333334
Voxtral-Mini-3b,sac,0.8571428571428571
Voxtral-Mini-3b,fetal,1.0
Voxtral-Mini-3b,pole,0.8
Voxtral-Mini-3b,cardiac,1.0
Voxtral-Mini-3b,activity,1.0
Voxtral-Mini-3b,decidual,0.6
Voxtral-Mini-3b,reaction,0.8
Voxtral-Mini-3b,membrane,0.8
Voxtral-Mini-3b,separation,0.75
Voxtral-Mini-3b,crl,1.0
Voxtral-Mini-3b,cervix,0.42857142857142855
Voxtral-Mini-3b,adnexal,1.0
Voxtral-Mini-3b,pathology,1.0
Voxtral-Mini-3b,pouch,1.0
Voxtral-Mini-3b,douglas,1.0
Voxtral-Mini-3b,conception,0.6666666666666666
Voxtral-Mini-3b,edd,0.6666666666666666
Voxtral-Mini-3b,gravid,0.75
Voxtral-Mini-3b,uterus,0.8181818181818182
Voxtral-Mini-3b,endometrial,1.0
Voxtral-Mini-3b,echo,1.0
Voxtral-Mini-3b,ovary,1.0
Voxtral-Mini-3b,ovaries,1.0
Voxtral-Mini-3b,fluid,1.0
Voxtral-Mini-3b,adenomyotic,0.25
Voxtral-Mini-3b,adenomyosis,0.75
Voxtral-Mini-3b,bulky,1.0
Voxtral-Mini-3b,globular,1.0
Voxtral-Mini-3b,placenta,1.0
Voxtral-Mini-3b,vertex,1.0
Voxtral-Mini-3b,presentation,1.0
Voxtral-Mini-3b,fhr,1.0
Voxtral-Mini-3b,afi,1.0
Voxtral-Mini-3b,liquor,0.5
Voxtral-Mini-3b,vessel,1.0
Voxtral-Mini-3b,cord,1.0
Voxtral-Mini-3b,bpd,1.0
Voxtral-Mini-3b,hc,1.0
Voxtral-Mini-3b,ac,0.9
Voxtral-Mini-3b,fl,1.0
Voxtral-Mini-3b,hl,1.0
Voxtral-Mini-3b,age,1.0
Voxtral-Mini-3b,birth,1.0
Voxtral-Mini-3b,weight,1.0
Voxtral-Mini-3b,artery,1.0
Voxtral-Mini-3b,pressure,1.0
Voxtral-Mini-3b,intrauterine,1.0
Voxtral-Mini-3b,pregnancy,0.0
Voxtral-Mini-3b,follow,0.75
Voxtral-Mini-3b,up,0.8333333333333334
Voxtral-Mini-3b,lmp,0.6666666666666666
Voxtral-Mini-3b,weeks,0.7777777777777778
Voxtral-Mini-3b,days,1.0
Voxtral-Mini-3b,mm,0.9230769230769231
Voxtral-Mini-3b,cm,0.8571428571428571
Voxtral-Mini-3b,scar,1.0
Voxtral-Mini-3b,thickness,1.0
Voxtral-Mini-3b,examination,0.7142857142857143
Voxtral-Mini-3b,normal,1.0
Voxtral-Mini-3b,cyst,0.8
Voxtral-Mini-3b,follicle,1.0
Voxtral-Mini-3b,posterior,1.0
Voxtral-Mini-3b,anterior,1.0
Voxtral-Mini-3b,transverse,1.0
Voxtral-Mini-3b,measures,1.0
